,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,price_above_median
1,3.0755,32,4.623067776456599,0.9833531510107016,3868.0,4.599286563614744,32.77,0
3,1.4625,37,4.247844827586207,1.105603448275862,1673.0,3.605603448275862,33.99,0
4,1.9063,13,3.453125,0.984375,286.0,4.46875,33.97,0
6,1.5972,34,2.510250569476082,1.020501138952164,1325.0,3.0182232346241458,34.05,0
7,1.5294,39,3.6512261580381473,1.1144414168937329,1463.0,3.986376021798365,33.96,0
10,1.3125,37,3.25,0.967391304347826,318.0,3.4565217391304346,34.1,0
14,3.125,19,5.375,1.1607142857142858,150.0,2.6785714285714284,34.12,0
15,3.3639,25,6.395348837209302,1.2299741602067182,910.0,2.351421188630491,33.74,0
16,2.7961,10,4.352441613588111,1.0042462845010616,1302.0,2.764331210191082,33.2,0
19,3.875,19,4.951754385964913,1.131578947368421,900.0,3.947368421052632,34.02,0
20,2.4779,21,3.727272727272727,1.1054545454545457,1131.0,2.056363636363636,32.75,0
26,1.8958,35,5.240663900414938,1.0871369294605808,950.0,3.941908713692946,32.81,0
31,1.1563,38,4.84390243902439,1.2,760.0,3.707317073170732,32.71,0
32,2.295,32,3.695364238410596,1.086092715231788,1265.0,4.188741721854305,33.95,0
33,4.337,34,5.953727506426735,0.9383033419023136,956.0,2.4575835475578405,33.97,0
34,2.6339,13,4.1058020477815695,0.9965870307167236,1035.0,3.532423208191126,33.21,0
35,2.7679,50,5.025821596244131,1.0586854460093895,1777.0,4.171361502347418,34.11,0
44,3.6667,40,5.989690721649485,1.127147766323024,981.0,3.3711340206185567,33.96,0
45,2.3859,36,4.075371549893843,1.0658174097664543,4711.0,5.001061571125265,34.05,0
50,4.0658,44,4.523456790123457,0.9901234567901236,1056.0,2.607407407407408,33.87,0
54,2.8489,34,4.417773237997957,1.0367722165474975,2609.0,2.664964249233912,32.61,0
55,2.9821,31,5.936619718309859,1.204225352112676,1504.0,3.5305164319248825,33.92,0
57,3.4115,35,5.193548387096774,1.0099255583126552,1755.0,4.354838709677419,34.03,0
59,3.1548,50,5.4017595307917885,1.1055718475073313,817.0,2.3958944281524928,34.01,0
60,4.6914,7,6.808510638297872,1.0148936170212766,1522.0,3.238297872340425,34.51,0
61,2.1563,29,4.475548060708263,1.1247892074198989,1822.0,3.072512647554806,34.12,0
