,x1,x2,x3,x4,x5,x7,x8,x9,x10,class
0,-4.72564,-13.7084,2,-6.8542,-0.140975,0,1,175.934,1009.0,1
2,-0.329539,-13.5194,2,-6.75972,0.073335,1,1,320.264,1130.0,1
3,0.47462,-14.3009,0,-7.15044,-0.201643,1,1,301.404,1011.0,1
5,-4.73114,-10.9856,0,-5.49281,0.774233,0,0,249.996,1032.0,0
9,-2.39811,-14.4293,0,-7.21466,0.507672,1,0,155.936,1116.0,0
10,-0.959219,-11.8615,2,-5.93073,0.8524,0,0,322.293,1032.0,0
14,3.56211,-10.7305,1,-5.36526,0.540195,0,0,134.973,1086.0,0
16,-3.11714,-10.5128,0,-5.25639,-0.305761,0,1,239.189,1197.0,1
17,2.61276,-10.4917,1,-5.24587,0.747784,1,0,350.801,1010.0,0
21,1.68127,-12.1462,2,-6.07312,-0.914479,0,1,335.271,1147.0,1
22,1.33771,-10.5242,1,-5.26208,-0.938414,1,1,325.349,1104.0,0
25,0.434208,-10.7889,0,-5.39447,0.873108,0,0,153.044,1098.0,0
29,0.101983,-11.9226,2,-5.9613,-0.806938,0,1,425.886,1058.0,1
31,2.94826,-10.0031,1,-5.00157,0.302791,1,1,170.477,1118.0,1
32,0.327989,-12.2696,0,-6.1348,-0.11018,0,1,280.444,1157.0,1
34,-0.699451,-13.6895,0,-6.84476,0.092798,0,1,378.919,1099.0,1
37,-0.242008,-10.217,0,-5.10851,-0.296223,0,1,416.217,1062.0,1
38,-0.631817,-10.1804,0,-5.0902,-0.334734,0,1,351.23,1042.0,1
39,4.86641,-14.6669,0,-7.33344,0.566981,0,0,450.934,1101.0,0
40,3.84983,-14.2045,2,-7.10227,-0.085666,1,1,278.08,1088.0,1
41,-0.510309,-11.0606,0,-5.5303,0.550795,1,0,134.395,1189.0,0
43,0.328665,-11.2759,0,-5.63795,0.826251,0,0,244.218,1048.0,0
45,2.37638,-10.5107,2,-5.25534,-0.267428,1,1,449.716,1088.0,1
49,2.54516,-14.0663,1,-7.03316,0.62232,0,0,486.98,1086.0,0
53,-2.53887,-10.2436,2,-5.1218,-0.227244,1,1,270.762,1145.0,1
54,2.26501,-10.6135,0,-5.30674,0.471299,1,1,289.344,1105.0,1
57,0.485577,-10.9847,0,-5.49236,0.87177,0,0,210.463,1138.0,0
59,4.09124,-12.7496,0,-6.37479,0.073687,1,1,218.448,1121.0,1
62,2.78758,-14.1337,2,-7.06686,-0.729906,1,1,120.916,1061.0,1
64,-2.46381,-14.2587,0,-7.12934,0.31534,0,1,467.211,1008.0,1
65,3.76242,-14.708,2,-7.35402,0.119826,1,1,369.454,1083.0,1
66,3.75524,-11.6605,1,-5.83027,0.155502,1,1,160.932,1053.0,1
67,-4.81983,-10.4478,0,-5.22391,0.133314,0,1,171.222,1057.0,1
68,2.58078,-12.1058,0,-6.05289,-0.966506,1,1,179.148,1041.0,1
72,-3.94607,-13.2025,0,-6.60124,0.762417,0,0,161.71,1164.0,0
73,-2.05219,-11.0822,0,-5.54109,-0.995186,0,1,335.355,1125.0,1
76,-1.80937,-10.328,0,-5.164,-0.882105,1,1,392.927,1075.0,1
79,0.734914,-11.0411,0,-5.52057,0.429665,0,1,416.172,1042.0,1
83,-1.38841,-12.5056,2,-6.2528,-0.304859,0,1,331.211,1057.0,1
85,-3.41457,-10.0609,0,-5.03047,0.947007,1,0,111.859,1064.0,0
87,2.10222,-10.0155,2,-5.00773,0.206835,0,1,378.876,1044.0,0
88,1.29296,-13.743,1,-6.87149,0.911998,0,0,389.742,1196.0,0
89,-4.4086,-11.6436,0,-5.82178,0.063313,0,1,478.729,1174.0,1
91,-1.71672,-13.0388,0,-6.51938,-0.304763,0,1,277.459,1001.0,1
92,-2.49608,-13.6865,0,-6.84323,-0.01154,0,1,123.064,1040.0,1
95,-2.4843,-12.4451,0,-6.22254,-0.158048,0,1,120.413,1113.0,1
98,-4.37873,-11.0562,0,-5.52809,-0.911897,1,1,354.657,1153.0,1
100,-1.5275,-13.7123,0,-6.85616,0.135187,0,1,275.452,1117.0,1
105,1.9919,-10.7212,0,-5.3606,-0.640383,0,1,240.068,1020.0,1
108,-2.49801,-10.3088,0,-5.15438,-0.307585,0,1,479.615,1199.0,1
109,2.07744,-11.6547,0,-5.82734,-0.173811,1,1,276.394,1165.0,0
110,-0.448857,-10.0009,0,-5.00043,0.93321,0,0,157.79,1011.0,0
111,-2.93245,-11.9737,0,-5.98683,0.283147,0,1,142.883,1162.0,1
113,1.21457,-11.7699,2,-5.88493,-0.750161,0,1,188.81,1119.0,1
114,1.1346,-11.1364,0,-5.56822,-0.027509,0,1,390.468,1006.0,1
115,-0.276696,-11.0637,0,-5.53186,-0.972171,0,1,227.987,1031.0,1
117,2.81846,-14.8277,1,-7.41383,0.044175,0,1,461.894,1112.0,1
119,3.64344,-13.9687,0,-6.98436,0.738491,0,0,489.577,1076.0,0
120,-2.98109,-14.3012,0,-7.1506,0.646443,1,0,376.001,1076.0,0
127,1.35483,-14.7063,0,-7.35317,0.020746,1,1,284.723,1121.0,1
143,-3.90564,-13.645,0,-6.8225,-0.286775,0,1,261.32,1103.0,1
145,-3.83938,-14.7461,0,-7.37303,-0.815808,0,1,137.984,1063.0,1
146,-1.8905,-13.047,0,-6.5235,-0.378123,0,1,179.974,1157.0,1
147,-4.97309,-10.1274,0,-5.06372,0.094135,1,1,366.417,1155.0,1
151,4.09158,-11.6304,1,-5.8152,-0.734874,0,1,358.43,1117.0,1
153,-4.08263,-12.4944,0,-6.24719,0.156249,1,1,332.393,1115.0,1
