,x1,x2,x3,x4,x5,x7,x8,x9,x10,class
1,0.802401,-13.4818,2,-6.74092,0.524002,0,0,389.365,1001.0,0
4,1.64158,-11.6724,0,-5.83622,-0.717694,0,1,423.455,1005.0,0
6,-3.64411,-10.6313,0,-1.82206,-0.696359,1,1,300.137,1066.0,1
7,3.01733,-12.985,1,-6.49251,0.761014,0,0,397.817,1192.0,0
8,-3.96261,-11.8163,0,-1.9813,-0.917519,0,1,196.4,1137.0,0
11,-4.94597,-10.8574,0,-2.47298,0.373719,1,1,399.86,1022.0,0
12,-0.69495,-11.6028,0,-5.80141,-0.832256,1,1,108.934,1187.0,0
13,0.799961,-11.8818,1,0.399981,0.815203,0,0,181.681,1176.0,0
15,-0.122854,-10.335,2,-0.061427,0.58081,0,0,283.733,1176.0,0
18,-3.87239,-14.9705,0,-7.48524,-0.450518,0,1,485.441,1017.0,1
19,0.392132,-11.1667,0,-5.58336,-0.764916,0,1,316.977,1135.0,0
20,-1.35349,-12.3717,0,-0.676743,-0.11986,0,1,291.386,1108.0,0
23,-1.27967,-13.7181,0,-6.85905,0.055169,0,1,448.132,1177.0,0
24,-3.5994,-13.0037,2,-1.7997,-0.888711,0,1,466.58,1004.0,0
26,-0.949936,-14.8431,0,-0.474968,0.939058,1,0,252.388,1116.0,0
27,-3.30328,-11.0335,2,-5.51677,0.689819,0,0,154.131,1096.0,0
28,-0.680523,-10.8505,0,-5.42525,-0.43369,0,1,126.468,1131.0,0
30,4.38117,-12.47,2,-6.235,0.441426,0,1,317.403,1060.0,0
33,0.794256,-10.215,0,0.397128,-0.597071,1,1,244.659,1178.0,0
35,3.14823,-12.8067,2,1.57411,-0.739089,0,1,206.965,1148.0,0
36,2.39999,-11.017,0,-5.50851,0.981515,1,0,100.557,1186.0,0
42,-4.97751,-11.002,0,-5.50102,-0.271662,0,1,293.263,1184.0,1
44,-4.11018,-12.3567,2,-2.05509,-0.948409,0,1,449.021,1185.0,0
46,3.89577,-13.4998,1,1.94789,-0.070947,0,1,301.714,1058.0,0
47,4.37085,-11.0206,0,2.18543,0.44162,0,1,274.153,1168.0,0
48,0.801653,-10.337,1,0.400827,0.436475,1,1,132.939,1121.0,0
50,-3.28153,-13.1212,0,-1.64076,0.929125,0,0,153.526,1126.0,0
51,-4.19363,-10.1725,0,-2.09681,0.468553,0,1,241.201,1124.0,0
52,-1.52201,-14.9179,0,-7.45896,-0.21055,1,1,494.018,1123.0,1
55,0.656242,-13.0846,0,0.328121,0.606126,0,0,367.772,1053.0,0
56,0.203271,-10.3497,2,0.101636,-8.5e-05,0,1,314.547,1105.0,0
58,2.75667,-13.7723,0,-6.88615,-0.58922,0,1,369.382,1103.0,0
60,-0.804922,-10.653,2,-0.402461,0.878864,0,0,322.255,1091.0,0
61,1.47467,-13.621,0,0.737334,-0.434899,0,1,120.155,1144.0,0
63,4.89105,-14.3198,0,2.44552,-0.836935,1,1,434.057,1076.0,0
69,2.06588,-13.3868,2,1.03294,-0.813319,1,1,301.542,1197.0,0
70,-3.62208,-12.4318,0,-1.81104,-0.121324,0,1,107.992,1121.0,0
71,0.563581,-14.222,0,-7.11099,0.610721,1,0,374.887,1191.0,0
74,-0.332919,-12.5651,2,-6.28253,0.2549,0,1,332.912,1027.0,0
75,4.79544,-11.3881,2,-5.69403,-0.025534,0,1,383.252,1154.0,0
77,0.761888,-12.631,0,0.380944,-0.873913,0,1,268.543,1069.0,0
78,-3.14987,-10.6673,0,-5.33365,0.784579,0,0,346.738,1127.0,0
80,-1.32466,-11.221,0,-5.61051,0.949683,0,0,127.618,1080.0,0
81,-0.64903,-13.2327,2,-6.61633,0.196845,0,1,464.872,1125.0,0
82,3.83094,-14.4097,1,1.91547,-0.428453,1,1,481.469,1198.0,0
84,-2.24624,-11.9472,2,-1.12312,-0.719213,1,1,389.125,1064.0,0
86,-4.81738,-11.0947,0,-5.54735,0.960217,0,0,269.695,1130.0,0
90,-2.54048,-10.2831,2,-1.27024,0.047057,1,1,154.258,1118.0,0
93,-4.36471,-10.0942,0,-5.04708,-0.289282,0,1,184.337,1020.0,1
94,-0.421335,-11.3939,0,-0.210668,-0.386097,0,1,437.167,1001.0,0
96,-1.96928,-13.1618,0,-6.58089,0.331056,1,1,323.039,1094.0,0
97,-2.29554,-12.1464,0,-1.14777,0.414217,1,1,383.998,1140.0,0
99,4.4547,-12.3074,0,2.22735,0.177415,0,1,440.4,1113.0,0
101,-3.66511,-11.1425,0,-1.83256,-0.31554,0,1,289.236,1077.0,1
102,1.66274,-12.7187,2,0.831371,0.163824,0,1,293.537,1093.0,0
103,-3.81451,-10.0882,0,-1.90726,-0.832502,0,1,286.291,1004.0,0
104,-4.66302,-10.4284,2,-5.21422,-0.466144,0,1,445.012,1177.0,1
106,2.38496,-13.9288,2,-6.9644,-0.481431,0,1,345.594,1023.0,0
107,0.366607,-14.3339,0,0.183304,0.430931,0,1,244.068,1119.0,0
112,0.435371,-13.7971,0,0.217686,0.133142,1,1,143.369,1040.0,0
116,3.95318,-10.9569,0,-5.47843,0.967155,1,0,331.707,1160.0,0
118,-0.332955,-13.7297,0,-0.166477,-0.762106,0,1,289.495,1175.0,0
121,3.13632,-13.7485,0,1.56816,0.184497,0,1,480.777,1079.0,0
122,2.32512,-12.2009,0,1.16256,0.885538,0,0,425.256,1018.0,0
123,-1.93137,-11.6005,0,-0.965687,-0.627474,0,1,211.051,1168.0,0
124,-3.96077,-13.0084,0,-1.98038,-0.714481,0,1,277.853,1175.0,1
125,4.4547,-14.0383,0,2.22735,0.812009,0,0,246.165,1044.0,0
126,-2.78189,-10.309,0,-5.15448,-0.785876,0,1,247.72,1000.0,0
128,-4.67469,-11.4025,0,-5.70123,0.783547,1,0,349.276,1130.0,0
129,3.25545,-11.1255,2,-5.56276,-0.631932,1,1,167.507,1195.0,0
130,-1.47471,-14.996,0,-0.737357,-0.415143,0,1,158.81,1050.0,0
131,-2.68525,-14.8111,0,-1.34262,-0.597355,0,1,388.549,1170.0,0
132,1.86683,-10.3946,0,0.933416,0.389148,1,1,222.911,1043.0,0
133,3.02987,-13.0564,0,-6.52821,-0.334563,1,1,338.212,1021.0,0
134,-2.15009,-12.9856,0,-6.49278,0.906223,0,0,171.256,1075.0,0
135,-0.331723,-14.6689,0,-7.33444,0.072756,0,1,414.255,1004.0,0
136,2.38918,-13.6629,1,1.19459,-0.938102,1,1,467.181,1108.0,0
137,4.05162,-10.862,0,2.02581,-0.690175,0,1,255.338,1042.0,0
138,1.50889,-13.7236,1,-6.86181,0.719256,1,0,422.229,1078.0,0
139,-4.94849,-10.8762,2,-5.4381,-0.706534,1,1,472.123,1199.0,1
140,-3.3921,-14.3677,0,-1.69605,-0.019581,0,1,230.534,1160.0,1
141,-2.44954,-14.315,0,-7.15749,0.657521,0,0,406.955,1116.0,0
142,0.659671,-13.5616,2,0.329836,-0.194456,0,1,102.934,1123.0,0
144,4.84681,-11.7776,1,2.42341,0.372554,0,1,371.506,1181.0,0
148,-4.88148,-13.5151,2,-6.75757,0.438915,1,1,220.353,1135.0,0
149,-4.8554,-12.5382,2,-2.4277,-0.17612,1,1,452.097,1116.0,1
150,4.08057,-12.0019,0,2.04029,-0.78318,0,1,122.793,1083.0,0
152,2.72832,-14.9408,1,-7.47041,-0.826679,0,1,284.167,1000.0,0
156,3.98363,-10.449,1,1.99182,0.102773,0,1,120.958,1007.0,0
158,-1.4176,-12.9019,2,-6.45097,-0.025982,0,1,161.442,1092.0,1
161,1.75038,-10.6766,2,-5.33832,0.641694,0,0,214.698,1064.0,0
162,1.97843,-11.2973,0,-5.64865,0.815742,0,0,455.004,1167.0,0
163,-2.98376,-14.1435,0,-7.07177,0.51461,0,0,290.841,1163.0,0
164,-1.55794,-14.0606,0,-0.778972,0.69943,0,0,116.36,1193.0,0
166,0.24934,-13.0637,2,0.12467,0.751081,1,0,326.463,1099.0,0
168,3.06399,-10.7963,1,1.53199,0.510763,1,0,412.318,1055.0,0
169,3.66111,-12.8639,1,-6.43197,0.354093,0,1,148.531,1122.0,0
170,2.7012,-12.952,0,-6.47601,-0.87339,1,1,287.959,1042.0,0
176,-1.3651,-10.5395,2,-5.26977,0.157222,0,1,203.772,1075.0,1
178,4.64301,-10.6649,0,2.32151,-0.875925,0,1,102.454,1036.0,0
180,1.99411,-10.3212,2,0.997055,-0.785649,0,1,266.057,1042.0,0
182,-1.36362,-12.8821,0,-0.681808,-0.655892,0,1,201.917,1101.0,0
184,3.02942,-13.3962,1,-6.6981,-0.694293,0,1,444.719,1122.0,0
186,0.228357,-14.2128,0,0.114178,-0.571213,0,1,376.679,1146.0,0
187,-2.55443,-14.8476,0,-1.27721,0.289171,0,1,115.563,1166.0,0
189,1.85349,-12.3239,2,0.926744,0.503671,0,0,349.664,1107.0,0
190,0.277994,-13.4137,0,-6.70683,-0.147922,0,1,204.983,1051.0,0
194,-4.12286,-13.5312,0,-2.06143,-0.315282,0,1,236.87,1183.0,0
195,2.72015,-13.0127,2,-6.50633,-0.569506,1,1,175.864,1052.0,0
196,3.1625,-11.6214,1,-5.81072,0.416316,1,1,160.008,1125.0,0
199,-0.54513,-11.9246,0,-0.272565,-0.087498,0,1,255.558,1151.0,0
200,2.28821,-14.3117,2,1.14411,0.350861,0,1,189.964,1185.0,0
201,-3.73744,-11.4568,2,-5.72842,-0.042053,1,1,479.793,1191.0,1
206,4.01302,-13.1118,2,-6.55592,0.57161,0,0,328.169,1000.0,0
207,-0.495443,-11.2888,0,-5.6444,-0.134251,0,1,388.205,1118.0,0
