,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,price_above_median
0,2.1827,26,4.521428571428571,0.9214285714285714,305.0,2.1785714285714284,40.05,0
2,1.8235,40,4.7011494252873565,1.1264367816091954,928.0,3.555555555555556,37.75,0
5,3.875,49,4.933701657458563,0.9779005524861878,468.0,2.585635359116022,37.78,0
8,2.75,35,5.304909560723514,1.0645994832041343,1193.0,3.082687338501292,35.33,0
9,3.6,22,4.851449275362318,0.9094202898550724,820.0,2.971014492753623,36.72,0
11,2.2244,24,4.491408934707904,1.0790378006872852,917.0,3.1512027491408934,38.43,0
12,3.25,19,5.70945945945946,1.1047297297297298,855.0,2.8885135135135136,37.74,0
13,2.5727,27,4.787234042553192,1.059961315280464,1703.0,3.294003868471953,38.25,0
17,2.3882,43,3.5902255639097747,1.0676691729323309,585.0,2.199248120300752,37.77,0
18,2.75,13,5.275204359673024,1.0463215258855585,1158.0,3.155313351498638,37.32,0
21,3.9032,3,5.863329583802025,1.1929133858267718,4432.0,2.4926884139482564,36.85,0
22,3.3984,36,5.739130434782608,1.016304347826087,829.0,2.252717391304348,40.78,0
23,2.9737,37,4.58008658008658,0.9696969696969696,588.0,2.5454545454545454,38.53,0
24,2.3384,27,3.2289156626506026,1.0100401606425702,2031.0,4.078313253012048,36.77,0
25,4.45,10,5.834752981260648,1.071550255536627,1538.0,2.620102214650766,38.41,0
27,3.2875,6,8.00625,1.53125,422.0,2.6375,38.04,0
28,1.3571,26,4.492647058823529,1.0343137254901962,939.0,2.301470588235294,40.39,0
29,3.1711,35,6.147388059701493,1.044776119402985,1454.0,2.712686567164179,38.59,0
30,0.4999,23,6.054545454545455,1.6727272727272726,198.0,3.6,36.09,0
36,3.3466,52,5.733542319749216,0.9435736677115988,694.0,2.175548589341693,37.96,0
37,3.1286,19,5.23607427055703,1.0424403183023874,799.0,2.119363395225464,37.66,0
38,1.8333,48,5.72,1.1714285714285717,605.0,3.4571428571428573,38.54,0
39,2.6705,26,6.185344827586207,1.0086206896551724,544.0,2.3448275862068964,40.55,0
40,2.3833,24,5.643382352941177,1.025735294117647,726.0,2.669117647058824,39.59,0
41,2.3566,15,5.665775401069519,1.0401069518716577,1079.0,2.885026737967914,39.43,0
42,1.7279,42,5.438095238095238,1.1238095238095238,597.0,2.842857142857143,37.12,0
43,2.5389,47,5.346072186836518,1.0636942675159236,1308.0,2.777070063694268,38.54,0
46,2.0976,25,3.660839160839161,0.944055944055944,1505.0,5.2622377622377625,35.99,0
47,2.5575,12,5.202676864244742,1.0497131931166348,1294.0,2.474187380497132,35.32,0
48,1.8355,29,4.487364620938628,1.1263537906137184,836.0,3.0180505415162453,36.68,0
49,2.2031,22,3.8241469816272966,1.0078740157480317,2962.0,3.887139107611549,37.35,0
51,4.1957,11,5.569587628865979,0.9561855670103092,1267.0,3.265463917525773,35.31,0
52,2.5111,49,4.886792452830188,0.9643605870020964,1290.0,2.7044025157232703,36.75,0
53,2.25,25,5.893805309734513,1.092920353982301,726.0,3.2123893805309733,39.06,0
56,2.5156,20,5.491379310344827,1.117816091954023,1241.0,3.5660919540229883,36.21,0
58,2.1382,21,5.668498168498169,1.2472527472527473,1341.0,2.456043956043956,38.28,0
62,2.212,10,5.207762557077626,1.0136986301369864,1274.0,2.9086757990867578,40.67,0
67,2.9085,21,3.962922573609597,1.1025081788440567,1985.0,2.164667393675028,36.6,0
68,3.1484,52,5.354748603351955,1.0251396648044693,722.0,2.016759776536313,38.57,0
69,2.3036,35,4.62051282051282,1.176923076923077,1009.0,2.5871794871794878,37.79,0
70,3.1875,18,5.0482374768089056,1.033395176252319,1667.0,3.0927643784786643,38.62,0
71,2.0216,18,5.463291139240506,1.0455696202531646,1461.0,3.69873417721519,36.38,0
74,3.3667,45,4.992592592592593,0.9814814814814816,639.0,2.3666666666666667,39.15,0
75,3.9537,17,6.013461538461539,1.0365384615384616,1390.0,2.673076923076923,39.25,0
77,2.7969,38,4.626707132018209,1.078907435508346,2167.0,3.288315629742033,37.79,0
78,2.4526,29,5.782051282051282,1.121082621082621,1700.0,2.421652421652422,41.31,0
79,2.5821,20,3.5811051693404634,1.0873440285204992,1570.0,1.3992869875222815,38.58,0
82,2.4821,24,4.769491525423729,1.1084745762711865,501.0,1.6983050847457628,37.73,0
86,3.1167,39,4.659574468085107,1.0611702127659577,1071.0,2.848404255319149,37.78,0
87,2.6765,20,5.3008356545961,1.1002785515320337,919.0,2.5598885793871866,38.01,0
88,2.5192,47,5.721393034825871,1.2139303482587065,552.0,2.746268656716418,39.46,0
89,1.6602,31,3.95260663507109,1.085308056872038,616.0,2.919431279620853,36.62,0
92,2.2727,10,4.934027777777778,1.0763888888888888,1443.0,2.505208333333333,36.59,0
94,2.1908,32,5.811594202898551,1.0579710144927537,868.0,3.1449275362318843,36.57,0
95,5.0672,14,7.075664621676892,1.01840490797546,3196.0,3.2678936605316973,38.27,0
96,4.3315,17,6.046511627906977,1.0116279069767442,709.0,2.748062015503876,36.83,0
97,3.6212,31,6.15034965034965,1.062937062937063,1386.0,2.423076923076923,34.96,0
98,3.6953,13,4.388402625820569,1.0240700218818382,2064.0,2.2582056892778994,38.33,0
99,2.1898,40,5.915407854984895,1.1661631419939578,725.0,2.190332326283988,41.23,0
100,2.1731,29,5.086956521739131,1.0031055900621118,942.0,2.9254658385093166,36.29,0
101,2.7368,29,5.181034482758621,0.9913793103448276,2317.0,3.329022988505747,38.49,0
107,1.9375,16,5.303664921465969,1.036649214659686,1031.0,2.698952879581152,39.75,0
110,5.187,45,7.149732620320855,1.0,471.0,2.518716577540107,36.79,0
111,3.1455,16,5.118566176470588,1.0165441176470589,3148.0,2.8933823529411766,39.28,0
114,2.2321,21,5.803191489361702,1.1063829787234043,660.0,3.5106382978723403,41.54,0
118,1.7462,29,4.681159420289855,0.9758454106280192,1487.0,3.5917874396135265,36.2,0
121,2.9375,17,5.021396396396397,1.063063063063063,1812.0,2.0405405405405403,38.16,0
124,3.3977,31,5.443333333333333,1.0533333333333332,944.0,3.1466666666666665,38.28,0
126,1.2171,52,4.5625,1.1217105263157894,1074.0,3.5328947368421053,37.82,0
127,3.07,15,5.385624344176286,0.9758656873032528,4591.0,2.408709338929696,39.76,0
129,2.5417,30,5.086021505376344,1.1720430107526882,242.0,2.6021505376344085,38.01,0
130,3.5129,25,5.725490196078432,0.9950980392156864,1172.0,2.872549019607843,38.71,0
134,3.588,32,5.803757828810021,0.9812108559498957,1281.0,2.674321503131524,39.43,0
135,3.2993,25,5.553191489361702,1.148936170212766,789.0,3.3574468085106384,38.13,0
136,2.2717,18,5.520259319286872,1.0907617504051863,1567.0,2.539708265802269,39.83,0
137,3.2123,17,4.946403385049365,0.9816643159379408,1867.0,2.633286318758816,38.14,0
138,3.0,32,5.292792792792793,0.9369369369369368,774.0,3.4864864864864864,37.4,0
140,1.8958,33,4.939516129032258,1.1088709677419355,1065.0,4.294354838709677,36.61,0
143,2.4583,31,5.325925925925926,1.1851851851851851,816.0,3.022222222222222,34.65,0
144,1.3654,47,5.6,1.2894736842105263,603.0,3.173684210526316,39.51,0
145,4.744,10,6.310258548790659,1.1242702251876564,3227.0,2.6914095079232694,37.66,0
146,2.1806,52,5.193846153846154,1.0369230769230768,853.0,2.624615384615385,37.84,0
147,2.5441,41,5.333333333333333,1.178030303030303,793.0,3.003787878787879,34.37,0
149,3.0507,52,4.427645788336933,1.062634989200864,1277.0,2.758099352051836,38.11,0
150,2.0089,44,4.461240310077519,1.0193798449612403,518.0,2.007751937984496,38.56,0
151,4.0815,21,5.166666666666667,1.0026881720430108,1130.0,3.0376344086021505,37.79,0
152,1.8857,31,4.655172413793103,1.0517241379310345,1154.0,3.3160919540229883,36.08,0
153,5.2608,19,7.092857142857143,1.0446428571428572,1586.0,2.8321428571428573,36.73,0
155,2.4726,15,5.180576631259484,1.0007587253414263,3002.0,2.277693474962064,39.15,0
156,3.3272,35,5.073170731707317,0.983739837398374,1054.0,2.856368563685637,36.79,0
160,1.3952,41,4.459882583170255,1.0528375733855186,1908.0,3.733855185909981,36.06,0
161,1.9906,29,8.970967741935484,1.9903225806451608,890.0,2.870967741935484,38.88,0
163,0.6991,26,2.669021190716448,1.014127144298688,1660.0,1.6750756811301717,36.72,0
164,2.5743,15,5.64935064935065,1.0357142857142858,1332.0,4.324675324675325,36.35,0
165,1.6033,44,4.951289398280802,1.0515759312320916,1042.0,2.98567335243553,38.64,0
166,1.5281,29,5.095890410958904,1.095890410958904,1137.0,3.115068493150685,39.29,0
169,1.5635,17,3.4126506024096384,1.0436746987951808,3200.0,4.819277108433735,37.29,0
171,2.3357,48,4.064935064935065,0.9902597402597404,673.0,2.185064935064935,37.67,0
172,3.2813,31,6.162679425837321,1.0956937799043065,1306.0,3.124401913875598,36.8,0
174,3.7917,16,6.155294117647059,0.9929411764705882,1090.0,2.5647058823529414,39.26,0
175,2.525,46,3.947040498442368,1.0093457943925233,792.0,2.467289719626168,37.87,0
178,3.7857,19,20.2,4.05,187.0,2.3375,36.79,0
179,2.6637,14,3.925438596491228,1.0789473684210529,1933.0,2.119517543859649,35.34,0
180,2.8833,38,5.120253164556962,0.9493670886075948,1272.0,2.6835443037974684,37.47,0
182,1.6125,52,3.135135135135135,1.364864864864865,286.0,1.9324324324324325,37.78,0
183,2.1771,18,5.127272727272727,1.0772727272727274,772.0,3.5090909090909093,36.44,0
188,1.655,23,5.95045045045045,1.1666666666666667,749.0,3.373873873873874,40.57,0
191,3.8906,15,4.832386363636363,0.9829545454545454,723.0,2.053977272727273,38.67,0
192,3.2452,17,5.841573033707865,1.149438202247191,2036.0,2.2876404494382023,38.58,0
194,2.1515,6,5.440366972477064,1.073394495412844,1135.0,5.206422018348624,36.72,0
195,2.551,37,4.840466926070039,1.1245136186770428,1854.0,3.607003891050584,37.93,0
197,3.0216,37,5.539094650205762,1.0041152263374489,1263.0,2.598765432098765,40.79,0
202,2.6544,12,5.958333333333333,1.2916666666666667,517.0,2.154166666666667,38.06,0
204,2.25,31,3.558558558558558,1.0855855855855856,1095.0,4.9324324324324325,34.28,0
205,2.0353,32,4.706855791962175,1.1914893617021276,1139.0,2.692671394799054,37.96,0
207,3.1736,39,5.364116094986807,0.9762532981530344,956.0,2.5224274406332454,35.43,0
211,1.5347,31,4.987068965517241,1.1896551724137931,956.0,4.120689655172414,37.96,0
215,2.0809,21,5.397435897435898,1.0929487179487178,1052.0,3.371794871794872,37.16,0
217,1.425,43,3.690909090909091,1.018181818181818,1805.0,4.102272727272728,37.96,0
218,3.1641,18,5.477203647416413,1.0182370820668694,1110.0,3.3738601823708207,37.55,0
220,3.15,14,6.364341085271318,1.317829457364341,477.0,3.697674418604651,40.69,0
221,2.2672,16,5.32518337408313,1.0770171149144254,1629.0,1.9914425427872864,38.03,0
222,1.9038,16,5.456445993031359,1.0662020905923344,652.0,2.2717770034843205,39.92,0
224,2.6288,37,5.230061349693251,0.9969325153374232,827.0,2.53680981595092,38.52,0
225,1.5278,19,6.436123348017621,1.497797356828194,515.0,2.2687224669603525,39.83,0
228,2.212,19,4.47953216374269,0.9961013645224172,1246.0,2.4288499025341133,34.96,0
229,2.96,19,5.0701754385964914,1.067251461988304,866.0,2.5321637426900585,40.95,0
231,2.2155,31,4.98469387755102,1.217687074829932,1969.0,3.348639455782313,35.35,0
232,2.4028,17,31.77777777777778,9.703703703703704,47.0,1.7407407407407407,40.06,0
234,3.0,34,6.25531914893617,1.0425531914893618,147.0,3.127659574468085,37.5,0
238,5.318,27,6.32156862745098,0.9176470588235294,630.0,2.4705882352941178,38.01,0
240,3.0288,40,5.125506072874494,1.040485829959514,547.0,2.214574898785425,38.13,0
243,2.4722,23,5.430703624733476,1.0746268656716418,1235.0,2.633262260127932,38.61,0
245,1.2012,27,4.322857142857143,1.0685714285714285,839.0,2.397142857142857,36.32,0
246,2.2604,43,3.671480144404332,1.184115523465704,836.0,3.0180505415162453,37.77,0
248,2.8472,27,12.32,2.993333333333333,396.0,2.64,40.16,0
249,1.3882,47,4.394190871369295,1.112033195020747,693.0,2.87551867219917,36.33,0
